face, ghostCell, u_BI, v_BI, cx, cy, u_mirror, v_mirror, x_mirror, y_mirror
199213, 99272, 0.58238, -0.0733099, 0.885069, 0.015547, 0.58238, -0.0733095, 0.885138, 0.016094
199927, 99630, 0.480718, 0.230883, 0.0245525, 0.0259318, 0.480719, 0.23088, 0.0241049, 0.0268637
199930, 99630, 0.480718, 0.230883, 0.0245525, 0.0259318, 0.480719, 0.23088, 0.0241049, 0.0268637
199932, 99631, 0.510585, 0.203394, 0.0331301, 0.029694, 0.51059, 0.203383, 0.0312603, 0.0343879
199934, 99632, 0.530803, 0.179654, 0.0422703, 0.033065, 0.530809, 0.179637, 0.0395407, 0.04113
200068, 99699, 0.585611, -0.059262, 0.715985, 0.034735, 0.585612, -0.0592554, 0.71697, 0.0444699
200070, 99700, 0.585446, -0.0600614, 0.725895, 0.0337235, 0.585447, -0.0600553, 0.72679, 0.0424471
200072, 99701, 0.585227, -0.0611086, 0.735804, 0.0326981, 0.585228, -0.0611032, 0.736608, 0.0403962
200074, 99702, 0.585063, -0.061881, 0.745704, 0.0316593, 0.585063, -0.0618763, 0.746409, 0.0383186
200076, 99703, 0.584899, -0.0626431, 0.755601, 0.030607, 0.584899, -0.062639, 0.756201, 0.0362141
200078, 99704, 0.584735, -0.0633953, 0.765492, 0.0295414, 0.584735, -0.063392, 0.765985, 0.0340827
200080, 99705, 0.584571, -0.0641384, 0.77538, 0.0284623, 0.584571, -0.0641358, 0.77576, 0.0319246
200082, 99706, 0.584352, -0.0651156, 0.785264, 0.0273698, 0.584352, -0.0651138, 0.785528, 0.0297396
200084, 99707, 0.584188, -0.0658389, 0.795142, 0.0262638, 0.584188, -0.0658379, 0.795285, 0.0275276
200085, 99708, 0.584024, -0.0665544, 0.805016, 0.0251446, 0.584024, -0.0665542, 0.805033, 0.0252892
200086, 99708, 0.584024, -0.0665544, 0.805016, 0.0251446, 0.584024, -0.0665542, 0.805033, 0.0252892
200822, 100077, 0.547428, 0.155516, 0.0544719, 0.0368588, 0.547429, 0.155513, 0.0539439, 0.0387177
200825, 100077, 0.547428, 0.155516, 0.0544719, 0.0368588, 0.547429, 0.155513, 0.0539439, 0.0387177
200827, 100078, 0.556736, 0.139336, 0.0639031, 0.0393828, 0.556737, 0.139329, 0.0628062, 0.0437656
200829, 100079, 0.563385, 0.126097, 0.073508, 0.0416663, 0.563387, 0.126087, 0.0720159, 0.0483325
200831, 100080, 0.568899, 0.113662, 0.083254, 0.0437393, 0.568901, 0.113651, 0.0815079, 0.0524786
200937, 100133, 0.587281, -0.050407, 0.615784, 0.044135, 0.587282, -0.0504017, 0.616568, 0.0532701
200939, 100134, 0.587112, -0.0513784, 0.625724, 0.0432729, 0.587112, -0.0513735, 0.626448, 0.0515457
200941, 100135, 0.586943, -0.0523277, 0.635659, 0.0423949, 0.586943, -0.0523232, 0.636319, 0.0497898
200943, 100136, 0.586774, -0.0532561, 0.64559, 0.0415015, 0.586775, -0.0532521, 0.64618, 0.0480031
200945, 100137, 0.586607, -0.0541648, 0.655516, 0.040593, 0.586607, -0.0541613, 0.656033, 0.046186
200947, 100138, 0.586439, -0.0550549, 0.665438, 0.0396696, 0.58644, -0.0550519, 0.665877, 0.0443391
200949, 100139, 0.586273, -0.0559274, 0.675356, 0.0387315, 0.586273, -0.055925, 0.675712, 0.0424629
200951, 100140, 0.586107, -0.0567834, 0.685269, 0.0377789, 0.586107, -0.0567816, 0.685538, 0.0405578
200953, 100141, 0.585941, -0.0576239, 0.695178, 0.0368121, 0.585941, -0.0576227, 0.695356, 0.0386241
200954, 100142, 0.585776, -0.0584498, 0.705083, 0.0358312, 0.585776, -0.0584492, 0.705166, 0.0366623
200955, 100142, 0.585776, -0.0584498, 0.705083, 0.0358312, 0.585776, -0.0584492, 0.705166, 0.0366623
201719, 100525, 0.573474, 0.101976, 0.0948343, 0.0459316, 0.573475, 0.101975, 0.0946687, 0.0468633
201722, 100525, 0.573474, 0.101976, 0.0948343, 0.0459316, 0.573475, 0.101975, 0.0946687, 0.0468633
201724, 100526, 0.576769, 0.0925126, 0.104586, 0.047583, 0.57677, 0.0925098, 0.104171, 0.050166
201726, 100527, 0.579136, 0.0849892, 0.1144, 0.0490873, 0.579136, 0.0849852, 0.1138, 0.0531747
201728, 100528, 0.58158, 0.0763689, 0.124283, 0.050459, 0.58158, 0.0763641, 0.123566, 0.0559181
201730, 100529, 0.583326, 0.0695051, 0.134201, 0.0517055, 0.583327, 0.0694997, 0.133402, 0.0584109
201732, 100530, 0.58484, 0.0629153, 0.144157, 0.0528376, 0.58484, 0.0629096, 0.143314, 0.0606752
201734, 100531, 0.586145, 0.0565856, 0.154144, 0.0538636, 0.586146, 0.0565799, 0.153289, 0.0627273
201736, 100532, 0.587055, 0.0517006, 0.164138, 0.0547879, 0.587055, 0.0516948, 0.163276, 0.0645758
201796, 100562, 0.58978, -0.0328327, 0.465552, 0.0549201, 0.58978, -0.0328289, 0.466104, 0.0648403
201798, 100563, 0.589616, -0.0342714, 0.475544, 0.0543518, 0.589616, -0.0342677, 0.476087, 0.0637036
201800, 100564, 0.589449, -0.0356696, 0.48553, 0.0537599, 0.58945, -0.035666, 0.48606, 0.0625197
201802, 100565, 0.589281, -0.0370285, 0.495512, 0.053145, 0.589281, -0.037025, 0.496024, 0.0612901
201804, 100566, 0.589112, -0.0383493, 0.505489, 0.052508, 0.589112, -0.038346, 0.505977, 0.0600161
201806, 100567, 0.588941, -0.0396333, 0.515461, 0.0518496, 0.588941, -0.0396302, 0.515922, 0.0586991
201808, 100568, 0.588769, -0.0408819, 0.525428, 0.0511703, 0.588769, -0.040879, 0.525857, 0.0573405
201810, 100569, 0.588597, -0.0420963, 0.535391, 0.0504707, 0.588597, -0.0420936, 0.535783, 0.0559415
201812, 100570, 0.588482, -0.0428874, 0.545346, 0.0497518, 0.588483, -0.0428851, 0.545693, 0.0545036
